46134	@USER Conservatives can be respected up until the point where they start winning.	NOT	NULL	NULL
26706	@USER @USER Those are the #Liberals	NOT	NULL	NULL
21762	@USER no  MAGA is true  Many  Are  Getting  Arrested  URL	NOT	NULL	NULL
37844	@USER @USER @USER 👏WELL👏SAID👏👏👏👏👏👏She gets more negative feedback than anyone ever!! Because she is always defending her BAD BEHAVIOR! Way to show her little girl how to act!👏👏👏👏👏👏	OFF	TIN	IND
87951	@USER #BrettKavanaugh is the right man for the job. Liberals need to give up already.	NOT	NULL	NULL
17128	@USER Don’t worry your time will come play hard and listen the coach Frost he is a winner a championship coach🏈	NOT	NULL	NULL
58276	@USER Did you find out where Senator Collins is sleeping? Let us know so we can send some antifa goons to her house to straighten her out. 👊✊🏾	NOT	NULL	NULL
83507	@USER @USER @USER @USER @USER She can do a Google search of protests by antifa but she already knows that. It's called being blind. I would never support a conservative protest where they beat people up and destroyed property	NOT	NULL	NULL
90381	@USER Are you still blaming the Black Man for everything? Americans remember..  Antifa	NOT	NULL	NULL
74820	@USER This (confirmation) is a done deal.  He said she said and she’s a leftist Antifa nobody.	OFF	TIN	IND
95876	@USER Do the Dems ask for gun control in Chicago?	NOT	NULL	NULL
74118	@USER @USER @USER Jehovah and Yahweh is most immoral! Seriously he is one big lying contradiction!	OFF	TIN	GRP
81781	@USER You are important to me so I would like that you think more in your health and rest well bc you always work hard for army. I purple you 💜	NOT	NULL	NULL
45652	#baltimore has 5 shootings over wkend..criminals really follow those liberal gun control laws..smh. baltimore is a shithole #guncontrol	NOT	NULL	NULL
79810	@USER @USER @USER I was 15 ==&gt; I can remember everything time place witnesses I told and who drove me home I was glad I was still alive.  Too many women out here KNOW the truth so who are the Dems running this scam for?  Their Gruber Brained ANTIFA crowd?  Naw who then?	NOT	NULL	NULL
85054	@USER @USER 👏👏👍👍👍 Exactly!	NOT	NULL	NULL
45025	@USER Pussy and ass are ✌🏾different times. And I've NEVER in my black life ever ate chittlerings lol	OFF	TIN	GRP
10546	"@USER Uh...ALL of their signatures are on the record"", genius.  🚂 #MAGA"""	NOT	NULL	NULL
30562	@USER @USER @USER @USER @USER @USER @USER @USER @USER The feeling is mutual sunshine!! You are probably #Antifa	NOT	NULL	NULL
85525	@USER @USER @USER @USER @USER You better pray hard because I will come in with him being guilty and he better prove he is innocent and if it's a child he can wrap it up prison is his destiny. Women can lie but 1 in a million lie about sexual assaults and rape	NOT	NULL	NULL
68921	@USER He wants in the White House! URL	NOT	NULL	NULL
38761	@USER Because he is a Republican.	NOT	NULL	NULL
47845	@USER Nobody wants a supergirl movie. The show is shitty enough.	NOT	NULL	NULL
